preco_imovel,condominio,iptu,rua,numero,bairro,cidade,area_util,quartos,banheiros,garagens,endereco_completo,address_found,latitude_calculada,longitude_calculada,Dist_Centro,Dist_UFSM,Dist_Royal,Dist_Pnova,Dist_HUSM,Dist_Caridade,Dist_Parque_Itaimbe,Dist_Praça_Roque,Dist_Praça_Saldanha,Dist_Club_Dores,Dist_Aeroporto,escola_fundamental,escola_infantil,geometry,apartamento,casa,cobertura,ln_preco,LISA_Cluster,p_valor_lisa
280000,R$ 280,,Adolfo Soares,162.0,Menino Jesus,Santa Maria,115.0,2,2,1,"Adolfo Soares, 162 - Menino Jesus, Santa Maria, Brasil","R. Adolfo Soares, 162 - Menino Jesus, Santa Maria - RS, 97050-430, Brazil",-29.6815712,-53.800655,0.00116816731346671,0.00010651925438005092,0.000909682627592855,0.0002510631737377156,0.00011086240700505237,0.0007952785812602612,0.002346059927841103,0.0008561780624219775,0.0012743976016207704,0.0012545861807783173,9.863681959849703e-05,1,1,POINT (-53.800655 -29.6815712),1,0,0,12.542544882151386,Low-Low (Baixo-Baixo),0.002
230000,,R$ 120,Affonso Pozzobon,144.0,Diácono João Luiz Pozzobon,Santa Maria,35.0,2,1,1,"Affonso Pozzobon, 144 - Diácono João Luiz Pozzobon, Santa Maria, Brasil","R. Affonso Pozzobon, 144 - Diácono João Luiz Pozzobon, Santa Maria - RS, 97061-024, Brazil",-29.7113171,-53.7590146,0.0001945403169448246,0.00022657853024766274,0.00023837428125061044,0.0001462127388749145,0.0002360387067174858,0.0001981955301157522,0.00019335493506932,0.00019724063114110076,0.00018453264539977597,0.0002230917884463204,0.000176295447675547,0,0,POINT (-53.7590146 -29.7113171),0,1,0,12.345834587905333,Não Significativo,0.068
1100000,,R$ 1.449,Agne,143.0,Itararé,Santa Maria,53.0,3,3,1,"Agne, 143 - Itararé, Santa Maria, Brasil","R. Agne, 143 - Itararé, Santa Maria - RS, 97045-010, Brazil",-29.6730366,-53.7985514,0.0005550579767285048,0.00010317401586831867,0.0005190209026743888,0.0002071238737184448,0.00010793777509992453,0.0004521830681834841,0.0007266889478456253,0.0004716839205964768,0.0006043312917126582,0.0006033774160731753,9.740515505541303e-05,1,0,POINT (-53.7985514 -29.6730366),0,1,0,13.9108207377686,Não Significativo,0.122
2399000,,,Agrimensor João Alves Dos Santos,135.0,Camobi,Santa Maria,294.0,3,5,2,"Agrimensor João Alves Dos Santos, 135 - Camobi, Santa Maria, Brasil","R. Agrimensor João Alves dos Santos, 135 - Camobi, Santa Maria - RS, 97110-833, Brazil",-29.7090125,-53.73918219999999,0.0001474712092039521,0.00036935432168348184,0.00017281220265256197,0.00011434493953979694,0.00042015635153077544,0.0001480711525499732,0.0001485166130187977,0.00014785139454220468,0.0001421501795090516,0.00016542826492211402,0.0002670617597145567,0,0,POINT (-53.73918219999999 -29.7090125),0,1,0,14.690562541821832,Não Significativo,0.123
780000,R$ 350,,Alameda Buenos Aires,171.0,Nossa Senhora das Dores,Santa Maria,103.0,3,2,1,"Alameda Buenos Aires, 171 - Nossa Senhora das Dores, Santa Maria, Brasil","Al. Buenos Aires, 171 - Nossa Sra. das Dores, Santa Maria - RS, 97050-545, Brazil",-29.69088249999999,-53.7932566,0.0008460386173138328,0.00012056046880536784,0.005487497660892658,0.0002533038341492324,0.00012538836428398775,0.0007989861343393349,0.0008634984886974852,0.00081290251654726,0.0006996307753588467,0.002105797414689653,0.00010888729266688983,0,1,POINT (-53.7932566 -29.69088249999999),1,0,0,13.567049198665774,Não Significativo,0.104
480000,R$ 350,,Alameda Buenos Aires,380.0,Nossa Senhora das Dores,Santa Maria,68.0,2,2,1,"Alameda Buenos Aires, 380 - Nossa Senhora das Dores, Santa Maria, Brasil","Al. Buenos Aires, 380 - Nossa Sra. das Dores, Santa Maria - RS, 97050-545, Brazil",-29.693226,-53.794177,0.0008390759123104459,0.00012082582702523131,0.0028329689302639383,0.000266340777835432,0.00012532751365007256,0.0008562073378748836,0.0007910644436591053,0.0008570973305148768,0.0006801555456026654,0.001556520298183828,0.00010845977477160372,0,1,POINT (-53.794177 -29.693226),1,0,0,13.081541382884074,Não Significativo,0.308
565000,R$ 300,,Alameda Cidade De Rosário,25.0,Nossa Senhora de Lourdes,Santa Maria,98.0,2,2,2,"Alameda Cidade De Rosário, 25 - Nossa Senhora de Lourdes, Santa Maria, Brasil","Alameda Cidade de Rosario, 25 - Nossa Sra. das Dores, Santa Maria - RS, 97050-645, Brazil",-29.6906218,-53.7926607,0.0008120556837624561,0.00012116029995284331,0.004427654700603372,0.00024923156611629364,0.00012609834773967416,0.0007623461807639201,0.0008406015798049153,0.0007760874775162932,0.0006790235862894509,0.0020011107530702762,0.00010948544692877213,0,1,POINT (-53.7926607 -29.6906218),1,0,0,13.244581010128577,Não Significativo,0.21
585000,R$ 400,,Alameda Cidade Rosário,25.0,Nossa Senhora de Lourdes,Santa Maria,132.0,2,2,1,"Alameda Cidade Rosário, 25 - Nossa Senhora de Lourdes, Santa Maria, Brasil","Alameda Cidade de Rosario, 25 - Nossa Sra. das Dores, Santa Maria - RS, 97050-645, Brazil",-29.6906218,-53.7926607,0.0008120556837624561,0.00012116029995284331,0.004427654700603372,0.00024923156611629364,0.00012609834773967416,0.0007623461807639201,0.0008406015798049153,0.0007760874775162932,0.0006790235862894509,0.0020011107530702762,0.00010948544692877213,0,1,POINT (-53.7926607 -29.6906218),1,0,0,13.279367126213993,Não Significativo,0.213
801255,,,Alameda Dos Ipês,11.0,Nossa Senhora Medianeira,Santa Maria,160.0,3,3,3,"Alameda Dos Ipês, 11 - Nossa Senhora Medianeira, Santa Maria, Brasil","Alameda dos ipês, 11 - Nossa Sra. Medianeira, Santa Maria - RS, 97015-300, Brazil",-29.6992796,-53.8204248,0.000519535511374701,9.520690302284114e-05,0.000374385111153006,0.0008051753609009368,9.705977191383576e-05,0.0006207080467099529,0.00042950974357013196,0.0005975007153535295,0.0005087289008923124,0.00038230031224717253,8.584097339901457e-05,0,0,POINT (-53.8204248 -29.6992796),1,0,0,13.593934527447157,High-High (Alto-Alto),0.001
885000,,,Alameda Dos Ipês,11.0,Nossa Senhora Medianeira,Santa Maria,160.0,3,2,3,"Alameda Dos Ipês, 11 - Nossa Senhora Medianeira, Santa Maria, Brasil","Alameda dos ipês, 11 - Nossa Sra. Medianeira, Santa Maria - RS, 97015-300, Brazil",-29.6992796,-53.8204248,0.000519535511374701,9.520690302284114e-05,0.000374385111153006,0.0008051753609009368,9.705977191383576e-05,0.0006207080467099529,0.00042950974357013196,0.0005975007153535295,0.0005087289008923124,0.00038230031224717253,8.584097339901457e-05,0,0,POINT (-53.8204248 -29.6992796),1,0,0,13.693342923990066,High-High (Alto-Alto),0.001
990000,,,Alameda Dos Ipês,11.0,Nossa Senhora Medianeira,Santa Maria,160.0,3,3,3,"Alameda Dos Ipês, 11 - Nossa Senhora Medianeira, Santa Maria, Brasil","Alameda dos ipês, 11 - Nossa Sra. Medianeira, Santa Maria - RS, 97015-300, Brazil",-29.6992796,-53.8204248,0.000519535511374701,9.520690302284114e-05,0.000374385111153006,0.0008051753609009368,9.705977191383576e-05,0.0006207080467099529,0.00042950974357013196,0.0005975007153535295,0.0005087289008923124,0.00038230031224717253,8.584097339901457e-05,0,0,POINT (-53.8204248 -29.6992796),1,0,0,13.805460222110773,High-High (Alto-Alto),0.001
1450000,,,Alameda Dos Ipês,11.0,Nossa Senhora Medianeira,Santa Maria,160.0,3,2,3,"Alameda Dos Ipês, 11 - Nossa Senhora Medianeira, Santa Maria, Brasil","Alameda dos ipês, 11 - Nossa Sra. Medianeira, Santa Maria - RS, 97015-300, Brazil",-29.6992796,-53.8204248,0.000519535511374701,9.520690302284114e-05,0.000374385111153006,0.0008051753609009368,9.705977191383576e-05,0.0006207080467099529,0.00042950974357013196,0.0005975007153535295,0.0005087289008923124,0.00038230031224717253,8.584097339901457e-05,0,0,POINT (-53.8204248 -29.6992796),1,0,0,14.187074114396758,High-High (Alto-Alto),0.001
1690000,R$ 3.000,,Alameda Dos Ipês,55.0,Nossa Senhora Medianeira,Santa Maria,325.0,3,5,2,"Alameda Dos Ipês, 55 - Nossa Senhora Medianeira, Santa Maria, Brasil","R. dos Ipês, 55 - Nossa Sra. Medianeira, Santa Maria - RS, 97015-300, Brazil",-29.69900879999999,-53.8198805,0.000536170185997779,9.561045286826563e-05,0.0003830060861912711,0.0007688829703383426,9.750455675208933e-05,0.0006449752553413176,0.0004406420921793247,0.000619914366209717,0.0005240152512791739,0.0003913705209588912,8.620962713636264e-05,0,0,POINT (-53.8198805 -29.69900879999999),1,0,0,14.340239086899256,High-High (Alto-Alto),0.001
1690000,R$ 2.500,,Alameda Dos Ipês,55.0,Nossa Senhora Medianeira,Santa Maria,325.0,4,4,3,"Alameda Dos Ipês, 55 - Nossa Senhora Medianeira, Santa Maria, Brasil","R. dos Ipês, 55 - Nossa Sra. Medianeira, Santa Maria - RS, 97015-300, Brazil",-29.69900879999999,-53.8198805,0.000536170185997779,9.561045286826563e-05,0.0003830060861912711,0.0007688829703383426,9.750455675208933e-05,0.0006449752553413176,0.0004406420921793247,0.000619914366209717,0.0005240152512791739,0.0003913705209588912,8.620962713636264e-05,0,0,POINT (-53.8198805 -29.69900879999999),1,0,0,14.340239086899256,High-High (Alto-Alto),0.001
2500000,,,Alameda Dos Ipês,131.0,Nossa Senhora Medianeira,Santa Maria,400.0,3,4,2,"Alameda Dos Ipês, 131 - Nossa Senhora Medianeira, Santa Maria, Brasil","R. dos Ipês, 131 - Nossa Sra. Medianeira, Santa Maria - RS, 97015-300, Brazil",-29.6987662,-53.819376,0.0005523692879776362,9.598823843042662e-05,0.00039130223494009765,0.0007383120168736135,9.792076678109479e-05,0.0006690119833527613,0.0004513383108224267,0.0006420300800563396,0.0005387678879601017,0.00040009860416422244,8.655411959213513e-05,0,0,POINT (-53.819376 -29.6987662),0,1,0,14.73180128983843,High-High (Alto-Alto),0.001
850000,R$ 400,,Alameda Santiago Do Chile,205.0,Nossa Senhora das Dores,Santa Maria,120.0,2,2,1,"Alameda Santiago Do Chile, 205 - Nossa Senhora das Dores, Santa Maria, Brasil","Alameda Santiago do Chile, 205 - Nossa Sra. das Dores, Santa Maria - RS, 97050-685, Brazil",-29.6936283,-53.7928179,0.000752340253294151,0.00012288503202170675,0.0022733859771163364,0.00025925231007448607,0.00012754680204354882,0.0007666005922742269,0.000720747045745742,0.0007664129131227271,0.000622933372739505,0.0013475118803907634,0.00011010101937046211,0,1,POINT (-53.7928179 -29.6936283),1,0,0,13.652991628466498,High-High (Alto-Alto),0.001
1329000,R$ 450,,Alameda Santiago Do Chile,205.0,Nossa Senhora das Dores,Santa Maria,164.0,3,3,3,"Alameda Santiago Do Chile, 205 - Nossa Senhora das Dores, Santa Maria, Brasil","Alameda Santiago do Chile, 205 - Nossa Sra. das Dores, Santa Maria - RS, 97050-685, Brazil",-29.6936283,-53.7928179,0.000752340253294151,0.00012288503202170675,0.0022733859771163364,0.00025925231007448607,0.00012754680204354882,0.0007666005922742269,0.000720747045745742,0.0007664129131227271,0.000622933372739505,0.0013475118803907634,0.00011010101937046211,0,1,POINT (-53.7928179 -29.6936283),0,0,1,14.099937337695382,High-High (Alto-Alto),0.001
1401000,R$ 600,,Alameda Santiago Do Chile,205.0,Nossa Senhora das Dores,Santa Maria,218.0,3,3,2,"Alameda Santiago Do Chile, 205 - Nossa Senhora das Dores, Santa Maria, Brasil","Alameda Santiago do Chile, 205 - Nossa Sra. das Dores, Santa Maria - RS, 97050-685, Brazil",-29.6936283,-53.7928179,0.000752340253294151,0.00012288503202170675,0.0022733859771163364,0.00025925231007448607,0.00012754680204354882,0.0007666005922742269,0.000720747045745742,0.0007664129131227271,0.000622933372739505,0.0013475118803907634,0.00011010101937046211,0,1,POINT (-53.7928179 -29.6936283),0,0,1,14.152696825319143,High-High (Alto-Alto),0.001
798000,,,Alameda Santiago Do Chile,205.0,Nossa Senhora das Dores,Santa Maria,87.0,2,2,2,"Alameda Santiago Do Chile, 205 - Nossa Senhora das Dores, Santa Maria, Brasil","Alameda Santiago do Chile, 205 - Nossa Sra. das Dores, Santa Maria - RS, 97050-685, Brazil",-29.6936283,-53.7928179,0.000752340253294151,0.00012288503202170675,0.0022733859771163364,0.00025925231007448607,0.00012754680204354882,0.0007666005922742269,0.000720747045745742,0.0007664129131227271,0.000622933372739505,0.0013475118803907634,0.00011010101937046211,0,1,POINT (-53.7928179 -29.6936283),1,0,0,13.589863876431945,High-High (Alto-Alto),0.001
850000,,,Avenida Rodolfo Behr,141.0,Camobi,Santa Maria,172.0,3,2,2,"Avenida Rodolfo Behr, 141 - Camobi, Santa Maria, Brasil","Av. Rodolfo Behr, 141 - Camobi, Santa Maria - RS, 97105-440, Brazil",-29.7080268,-53.7294508,0.00013086513863375747,0.0004960292254095958,0.00015060788475805206,0.00010324951023802594,0.0006515476183036771,0.00013096999638119233,0.00013212548918472864,0.00013087577113856234,0.0001268131477684463,0.0001452081037418946,0.00035684630920867236,0,0,POINT (-53.7294508 -29.7080268),0,1,0,13.652991628466498,High-Low (Alto-Baixo),0.022
457520,,R$ 175,Albin Denardim,400.0,Tomazetti,Santa Maria,56.0,3,2,2,"Albin Denardim, 400 - Tomazetti, Santa Maria, Brasil","R. Clenio Luiz Denardim, 400 - Boi Morto, Santa Maria - RS, 97032, Brazil",-29.7104095,-53.85572759999999,0.00018236011213000215,7.30403823258874e-05,0.0001586846398244525,0.0003903172207798648,7.359305480683764e-05,0.00019145727778953722,0.00017123133288148782,0.0001895695272135194,0.00018377295861106833,0.0001605318510326788,6.656417726723887e-05,0,0,POINT (-53.85572759999999 -29.7104095),0,1,0,13.033575878589199,Não Significativo,0.396
990000,,R$ 800,Albino Artur Berger,282.0,Camobi,Santa Maria,181.0,3,3,4,"Albino Artur Berger, 282 - Camobi, Santa Maria, Brasil","R. Albino Artur Berger, 282 - Camobi, Santa Maria - RS, 97105-706, Brazil",-29.712158,-53.7354598,0.00013810200006620708,0.000449087932336995,0.00015995881931446184,0.00010964995967166514,0.000510357104231989,0.00013886838174105188,0.00013879951565463883,0.00013861867060097576,0.00013334606547782244,0.00015350295167593965,0.00029328807991087767,0,0,POINT (-53.7354598 -29.712158),0,1,0,13.805460222110773,Não Significativo,0.153
250000,,,Alfredo Sacol,141.0,Tomazetti,Santa Maria,94.0,2,2,1,"Alfredo Sacol, 141 - Tomazetti, Santa Maria, Brasil","R. Alfredo Sacol, 141 - Tomazetti, Santa Maria - RS, 97065-020, Brazil",-29.7245999,-53.80225679999999,0.0002475365173767704,0.00011796659761412242,0.0002571345101626273,0.00030570007059050377,0.00011789637142623376,0.0002739162994348779,0.00022670863432973885,0.00026740592510766367,0.00023259102047350894,0.00024366367025703613,9.990235689029335e-05,1,0,POINT (-53.80225679999999 -29.7245999),0,1,0,12.429216196844383,Low-High (Baixo-Alto),0.016
430000,,,Alfredo Sacol,141.0,Tomazetti,Santa Maria,81.0,2,2,1,"Alfredo Sacol, 141 - Tomazetti, Santa Maria, Brasil","R. Alfredo Sacol, 141 - Tomazetti, Santa Maria - RS, 97065-020, Brazil",-29.7245999,-53.80225679999999,0.0002475365173767704,0.00011796659761412242,0.0002571345101626273,0.00030570007059050377,0.00011789637142623376,0.0002739162994348779,0.00022670863432973885,0.00026740592510766367,0.00023259102047350894,0.00024366367025703613,9.990235689029335e-05,1,0,POINT (-53.80225679999999 -29.7245999),0,1,0,12.971540487669746,Low-High (Baixo-Alto),0.019
680000,R$ 150,,Angelim Bortoluzi / João Machado Soares,126.0,Camobi,Santa Maria,160.0,3,3,2,"Angelim Bortoluzi / João Machado Soares, 126 - Camobi, Santa Maria, Brasil","Av. João Machado Soares, 126 - Camobi, Santa Maria - RS, 97110-000, Brazil",-29.6973284,-53.73187979999999,0.00013973149144768667,0.0003230368301656244,0.00016251298596226555,0.00010511920649551713,0.0004036870791802054,0.00013864518933939959,0.0001424193614919922,0.00013881072387407126,0.00013565298825526193,0.0001570647272797603,0.0003054177010982845,0,0,POINT (-53.73187979999999 -29.6973284),0,1,0,13.42984807715229,High-High (Alto-Alto),0.025
680000,,R$ 860,Angelin Bortholuzzi,400.0,Camobi,Santa Maria,160.0,3,2,2,"Angelin Bortholuzzi, 400 - Camobi, Santa Maria, Brasil","R. Angelim Bortoluzi, 400 - Camobi, Santa Maria - RS, 97110-710, Brazil",-29.6983819,-53.72235200000001,0.00012367158010130532,0.00038406030191339037,0.00014118735555089493,9.598885780217172e-05,0.0005260684471739611,0.00012282946943824075,0.00012580511301746672,0.00012295370555983,0.00012047640037320515,0.00013706826552693758,0.00041893774035260033,0,0,POINT (-53.72235200000001 -29.6983819),0,1,0,13.42984807715229,High-High (Alto-Alto),0.016
1300000,,R$ 150,Angelin Bortholuzzi,641.0,Camobi,Santa Maria,285.0,4,3,2,"Angelin Bortholuzzi, 641 - Camobi, Santa Maria, Brasil","R. Angelim Bortoluzi, 641 - Camobi, Santa Maria - RS, 97110-710, Brazil",-29.6959978,-53.7228344,0.00012488852186640697,0.00034835785301798067,0.00014271318188535656,9.615690681203431e-05,0.00046186931356367834,0.00012382969597017244,0.00012727397586756244,0.00012400133990166453,0.00012173221131125722,0.00013865820375440975,0.00039067053551425634,1,0,POINT (-53.7228344 -29.6959978),0,1,0,14.077874822431765,Não Significativo,0.17
865000,,R$ 150,Angelin Bortholuzzi,165.0,Camobi,Santa Maria,339.0,4,4,4,"Angelin Bortholuzzi, 165 - Camobi, Santa Maria, Brasil","R. Angelim Bortoluzi, 165 - Camobi, Santa Maria - RS, 97110-710, Brazil",-29.696585,-53.722628,0.0001244677981936918,0.00035681887258258975,0.00014218139191136308,9.6043619481723e-05,0.0004768511704130004,0.00012346461601047112,0.00012678655993709624,0.00012362418468256023,0.0001213076263041225,0.0001381186866905965,0.0003986661118903934,1,0,POINT (-53.722628 -29.696585),0,1,0,13.670484785914017,High-High (Alto-Alto),0.021
435000,R$ 280,,Ângelo Bolsson,456.0,Nossa Senhora Medianeira,Santa Maria,79.0,2,2,2,"Ângelo Bolsson, 456 - Nossa Senhora Medianeira, Santa Maria, Brasil","Av. Ângelo Bolson, 456 - Duque de Caxias, Santa Maria - RS, 97070-000, Brazil",-29.7004285,-53.8209597,0.0004885791499243254,9.500661219369708e-05,0.00036112866928431146,0.0008954212308333602,9.676714970517644e-05,0.0005804870525250664,0.00040747739135418,0.0005591788822964547,0.00047715842590209987,0.0003671200561828377,8.553816737243371e-05,1,0,POINT (-53.8209597 -29.7004285),1,0,0,12.983101310070822,Low-High (Baixo-Alto),0.004
220000,R$ 230,,Angelo Uglione,1698.0,Centro,Santa Maria,78.0,2,2,0,"Angelo Uglione, 1698 - Centro, Santa Maria, Brasil","R. Ângelo Uglione, 1698 - Centro, Santa Maria - RS, 97010-570, Brazil",-29.6855462,-53.8041214,0.0031798701820668733,0.00010530816815264363,0.0009743306042380015,0.0002911716492285041,0.00010911076843364827,0.0013771826795304725,0.007305998332971323,0.0015774145811871846,0.003592358795192283,0.0013165816983505445,9.668585847195417e-05,0,0,POINT (-53.8041214 -29.6855462),1,0,0,12.301382825334498,Low-Low (Baixo-Baixo),0.002
297000,R$ 450,,Ângelo Uglione,1519.0,Centro,Santa Maria,96.0,2,1,0,"Ângelo Uglione, 1519 - Centro, Santa Maria, Brasil","R. Ângelo Uglione, 1519 - Centro, Santa Maria - RS, 97010-570, Brazil",-29.6861566,-53.80579789999999,0.004115483212303538,0.00010398670781582832,0.0008752802079353333,0.00030565789282394697,0.00010759438017233808,0.001580486040936916,0.0032204490188368034,0.0018480922232220792,0.008969597598798163,0.0011152461292548053,9.538295855296406e-05,0,0,POINT (-53.80579789999999 -29.6861566),1,0,0,12.601487417784837,Low-Low (Baixo-Baixo),0.011
550000,,R$ 880,Antônio Gomes Dos Santos,65.0,Camobi,Santa Maria,200.0,3,1,3,"Antônio Gomes Dos Santos, 65 - Camobi, Santa Maria, Brasil","R. Antônio Fighera - Camobi, Santa Maria - RS, 97105, Brazil",-29.6998136,-53.7242961,0.0001262033374636473,0.00039765141275764,0.00014452768383067604,9.78797404378025e-05,0.0005452430625265623,0.0001254713575657161,0.00012826506514018225,0.00012556888454046147,0.00012280380515068624,0.00014010386624835577,0.00040151360668401313,0,0,POINT (-53.7242961 -29.6998136),0,1,0,13.217673557208654,Low-High (Baixo-Alto),0.012
1290000,,,Antônio Lino Spall,516.0,São José,Santa Maria,190.0,3,4,2,"Antônio Lino Spall, 516 - São José, Santa Maria, Brasil","R. Antônio Lino Spall, 516 - São José, Santa Maria - RS, 97095, Brazil",-29.7061004,-53.75796560000001,0.0002011456590377612,0.00022258238196069913,0.00025054059680182155,0.00014437158161116964,0.0002368018749801504,0.00020314151599445227,0.00020178150044716957,0.0002025640144536913,0.0001909953619997012,0.00023455354880341878,0.00017962774806172416,0,0,POINT (-53.75796560000001 -29.7061004),0,1,0,14.070152776337855,Não Significativo,0.388
799000,,,Assis Brasil,147.0,Itararé,Santa Maria,196.0,2,3,2,"Assis Brasil, 147 - Itararé, Santa Maria, Brasil","Av. Assis Brasil, 147 - Itararé, Santa Maria - RS, 97045-300, Brazil",-29.6763068,-53.8023624,0.0007404761250212065,0.0001018805872026843,0.0005906266995047612,0.0002317336780760092,0.00010617225508204651,0.0005675678046242804,0.0010562592903550119,0.000599033059735395,0.0008570603692575529,0.0007166081845822516,9.542204495499046e-05,0,0,POINT (-53.8023624 -29.6763068),0,1,0,13.591116224748411,Não Significativo,0.276
532600,R$ 400,,Assuncion,60.0,Nossa Senhora de Lourdes,Santa Maria,83.0,2,3,0,"Assuncion, 60 - Nossa Senhora de Lourdes, Santa Maria, Brasil","Nossa Senhora de Lourdes, Santa Maria - RS, Brazil",-29.6965406,-53.7993096,0.000928864036185205,0.00011604529934399728,0.0012037649676508182,0.0003171272409852478,0.00011961229101395227,0.0011884351375286905,0.0007418337602429774,0.001125801913405122,0.00072503856342609,0.0010097562996116709,0.0001036055662087667,0,1,POINT (-53.7993096 -29.6965406),1,0,0,13.185525952361969,Low-High (Baixo-Alto),0.001
790000,R$ 400,,Assuncion,60.0,Nossa Senhora de Lourdes,Santa Maria,124.0,2,3,0,"Assuncion, 60 - Nossa Senhora de Lourdes, Santa Maria, Brasil","Nossa Senhora de Lourdes, Santa Maria - RS, Brazil",-29.6965406,-53.7993096,0.000928864036185205,0.00011604529934399728,0.0012037649676508182,0.0003171272409852478,0.00011961229101395227,0.0011884351375286905,0.0007418337602429774,0.001125801913405122,0.00072503856342609,0.0010097562996116709,0.0001036055662087667,0,1,POINT (-53.7993096 -29.6965406),1,0,0,13.579788224443204,High-High (Alto-Alto),0.002
543091,,,Atenas,214.0,São José,Santa Maria,83.0,3,2,1,"Atenas, 214 - São José, Santa Maria, Brasil","R. Atenas, 214 - São José, Santa Maria - RS, 97095-546, Brazil",-29.7038631,-53.7505242,0.00017994312938941778,0.0002535388897149479,0.0002193510810336405,0.00013064184912006004,0.0002780458151768624,0.00018034937607915448,0.00018182251546791206,0.00018014774460994463,0.00017221598896089544,0.00020776862141890607,0.00020546625085498,0,0,POINT (-53.7505242 -29.7038631),0,1,0,13.20503217235184,Low-High (Baixo-Alto),0.001
553338,,,Atenas,214.0,São José,Santa Maria,83.0,3,2,1,"Atenas, 214 - São José, Santa Maria, Brasil","R. Atenas, 214 - São José, Santa Maria - RS, 97095-546, Brazil",-29.7038631,-53.7505242,0.00017994312938941778,0.0002535388897149479,0.0002193510810336405,0.00013064184912006004,0.0002780458151768624,0.00018034937607915448,0.00018182251546791206,0.00018014774460994463,0.00017221598896089544,0.00020776862141890607,0.00020546625085498,0,0,POINT (-53.7505242 -29.7038631),0,1,0,13.223724305363993,Low-High (Baixo-Alto),0.001
568708,,,Atenas,214.0,São José,Santa Maria,83.0,3,2,1,"Atenas, 214 - São José, Santa Maria, Brasil","R. Atenas, 214 - São José, Santa Maria - RS, 97095-546, Brazil",-29.7038631,-53.7505242,0.00017994312938941778,0.0002535388897149479,0.0002193510810336405,0.00013064184912006004,0.0002780458151768624,0.00018034937607915448,0.00018182251546791206,0.00018014774460994463,0.00017221598896089544,0.00020776862141890607,0.00020546625085498,0,0,POINT (-53.7505242 -29.7038631),0,1,0,13.25112240036669,Low-High (Baixo-Alto),0.001
515000,,,Atenas,214.0,São José,Santa Maria,83.0,3,3,2,"Atenas, 214 - São José, Santa Maria, Brasil","R. Atenas, 214 - São José, Santa Maria - RS, 97095-546, Brazil",-29.7038631,-53.7505242,0.00017994312938941778,0.0002535388897149479,0.0002193510810336405,0.00013064184912006004,0.0002780458151768624,0.00018034937607915448,0.00018182251546791206,0.00018014774460994463,0.00017221598896089544,0.00020776862141890607,0.00020546625085498,0,0,POINT (-53.7505242 -29.7038631),0,1,0,13.151922179645874,Low-High (Baixo-Alto),0.001
599000,,,Atenas,214.0,São José,Santa Maria,90.0,3,3,2,"Atenas, 214 - São José, Santa Maria, Brasil","R. Atenas, 214 - São José, Santa Maria - RS, 97095-546, Brazil",-29.7038631,-53.7505242,0.00017994312938941778,0.0002535388897149479,0.0002193510810336405,0.00013064184912006004,0.0002780458151768624,0.00018034937607915448,0.00018182251546791206,0.00018014774460994463,0.00017221598896089544,0.00020776862141890607,0.00020546625085498,0,0,POINT (-53.7505242 -29.7038631),0,1,0,13.303016877097587,Low-High (Baixo-Alto),0.001
590000,,,Atlântida,40.0,Nossa Senhora Medianeira,Santa Maria,225.0,3,3,2,"Atlântida, 40 - Nossa Senhora Medianeira, Santa Maria, Brasil","R. Atlântida, 40 - Nonoai, Santa Maria - RS, 97060-070, Brazil",-29.7028253,-53.8071576,0.0006137367288908953,0.00010912149958803042,0.0005428643921084955,0.00045080643884697075,0.00011143478465818401,0.0008184395523756296,0.000490899889794345,0.0007610574263824846,0.0005370598463535956,0.0005160948666659873,9.671146301625167e-05,0,0,POINT (-53.8071576 -29.7028253),0,1,0,13.287877815881902,Não Significativo,0.209
410000,,R$ 500,Augusta,50.0,Camobi,Santa Maria,60.0,2,2,1,"Augusta, 50 - Camobi, Santa Maria, Brasil","R. Augusta, 50 - Camobi, Santa Maria - RS, 97105-115, Brazil",-29.7100741,-53.7179994,0.00011404206157756182,0.0008050924529785107,0.00012876796035802141,9.2612904915913e-05,0.0018390424411701895,0.0001140790232214001,0.0001150824905368988,0.00011401384863936082,0.00011098113603680469,0.00012484598758047538,0.0005866477486473796,0,1,POINT (-53.7179994 -29.7100741),1,0,0,12.92391243868049,Low-Low (Baixo-Baixo),0.042
410000,,R$ 500,Augusta,50.0,Camobi,Santa Maria,61.0,2,2,1,"Augusta, 50 - Camobi, Santa Maria, Brasil","R. Augusta, 50 - Camobi, Santa Maria - RS, 97105-115, Brazil",-29.7100741,-53.7179994,0.00011404206157756182,0.0008050924529785107,0.00012876796035802141,9.2612904915913e-05,0.0018390424411701895,0.0001140790232214001,0.0001150824905368988,0.00011401384863936082,0.00011098113603680469,0.00012484598758047538,0.0005866477486473796,0,1,POINT (-53.7179994 -29.7100741),1,0,0,12.92391243868049,Low-Low (Baixo-Baixo),0.042
450000,,R$ 250,Josué Guimarães,22.0,Camobi,Santa Maria,66.0,3,2,0,"Josué Guimarães, 22 - Camobi, Santa Maria, Brasil","R. Josué Guimarães, 22 - Camobi, Santa Maria - RS, 97105-684, Brazil",-29.7126772,-53.7287172,0.00012704094955134148,0.000613088498998256,0.00014539843185684182,0.00010230529837844304,0.000766156254745103,0.00012754696239577733,0.0001278123038291634,0.00012736534377425383,0.00012306425552420494,0.0001401368149647023,0.0003606596732669267,0,1,POINT (-53.7287172 -29.7126772),0,1,0,13.017002861746503,Low-Low (Baixo-Baixo),0.001
