preco_imovel,condominio,iptu,rua,numero,bairro,cidade,area_util,quartos,banheiros,garagens,endereco_completo,address_found,latitude_calculada,longitude_calculada,Dist_Centro,Dist_UFSM,Dist_Royal,Dist_Pnova,Dist_HUSM,Dist_Caridade,Dist_Parque_Itaimbe,Dist_Praça_Roque,Dist_Praça_Saldanha,Dist_Club_Dores,Dist_Aeroporto,escola_fundamental,escola_infantil,geometry,apartamento,casa,cobertura,ln_preco,LISA_Cluster,p_valor_lisa
646000,,,Rua Marechal Floriano Peixoto,2183.0,Nonoai,Santa Maria,116.0,3,3,2,"Rua Marechal Floriano Peixoto, 2183 - Nonoai, Santa Maria, Brasil","R. Floriano Peixoto, 2183 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6961883,-53.804875,0.001134525690716198,0.00010938605625015159,0.0008495747875997313,0.00037328702513327565,0.000112444261878771,0.0020112526257317844,0.0007848267678730969,0.0017164925103122627,0.0008744073305198141,0.0008265521840993231,9.812615947732654e-05,0,0,POINT (-53.804875 -29.6961883),1,0,0,13.37855478276474,Low-High (Baixo-Alto),0.014
430000,,,Rua Marechal Floriano Peixoto,938.0,Centro,Santa Maria,86.0,2,2,1,"Rua Marechal Floriano Peixoto, 938 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 938 - Centro, Santa Maria - RS, 97010-310, Brazil",-29.6857433,-53.8093692,0.0019982723181445118,0.00010048120212026286,0.0006747785761790501,0.00032528324331609253,0.00010378503818787589,0.001339090120135136,0.0015951829113608916,0.001484874893224634,0.004180457210593338,0.0008035793823356901,9.232881762827029e-05,1,0,POINT (-53.8093692 -29.6857433),1,0,0,12.971540487669746,Não Significativo,0.094
499000,R$ 450,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,87.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.120361374733656,Não Significativo,0.257
520000,R$ 350,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,72.0,2,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.16158409055761,Não Significativo,0.254
530000,R$ 456,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,87.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.180632285528304,Não Significativo,0.251
560000,R$ 450,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,87.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.235692062711331,Não Significativo,0.248
560000,,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,87.0,3,1,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.235692062711331,Não Significativo,0.248
560000,R$ 300,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,88.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.235692062711331,Não Significativo,0.241
600000,R$ 500,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,87.0,3,1,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.304684934198283,Não Significativo,0.242
620000,R$ 450,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,87.0,3,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.337474757021274,Não Significativo,0.241
